job_id,job_title,company,location,city,state,country,industry,salary,salary_min,salary_max,currency,experience,experience_min,experience_max,employment_type,posting_date,job_description,skills,standardized_job_title,normalized_location,salary_average,experience_category,skills_count,posting_month,posting_year,posting_weekday,job_age_days,extracted_skills
JOB-000001,Machine Learning Engineer,Nimbus Data,Mumbai,Mumbai,Maharashtra,India,E-commerce,17 LPA,1725000.0,2579299.0,INR,1-1 years,1.0,1.0,Internship,2026-07-04,"We are hiring a Machine Learning Engineer at Nimbus Data to join our data team in India. The ideal candidate will have strong experience with Computer Vision, Python, SQL and TensorFlow. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Computer Vision,Python,SQL is required. If you are passionate about data and want to grow your career, apply today!","Computer Vision, Python, SQL, TensorFlow",Machine Learning Engineer,Mumbai,2152149.5,Entry Level,4,7.0,2026.0,Saturday,57.0,Computer Vision; Python; SQL; TensorFlow
JOB-000002,Senior Data Analyst I,FusionWorks,Ahmedabad,Ahmedabad,Gujarat,India,Consulting,18 LPA,1848000.0,3116758.0,INR,8-8 years,8.0,8.0,Full-time,2025-09-22,"We are hiring a Data Analyst at FusionWorks to join our data team in India. The ideal candidate will have strong experience with Data Visualization, Excel, Power BI, Python, SQL and Tableau. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Data Visualization,Excel,Power BI is required. If you are passionate about data and want to grow your career, apply today!","Data Visualization, Excel, Power BI, Python, SQL, Tableau",Data Analyst,Ahmedabad,2482379.0,Senior Level,6,9.0,2025.0,Monday,342.0,Data Visualization; Excel; Power BI; Python; SQL; Tableau
JOB-000003,Junior Data Engineer,Nimbus Data,Hyderabad,Hyderabad,Telangana,India,Telecommunications,18 LPA,1884999.0,2907248.0,INR,3-4 years,3.0,4.0,Full-time,2026-01-14,"We are hiring a Data Engineer at Nimbus Data to join our data team in India. The ideal candidate will have strong experience with Airflow, Hadoop, Python and SQL. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Airflow,Hadoop,Python is required. If you are passionate about data and want to grow your career, apply today!","Airflow, Hadoop, Python, SQL",Data Engineer,Hyderabad,2396123.5,Mid Level,4,1.0,2026.0,Wednesday,228.0,Airflow; Hadoop; Python; SQL
JOB-000004,Data QA Engineer,Quantum Data Labs,Kolkata,Kolkata,West Bengal,India,Telecommunications,,1900000.0,3098047.0,INR,6-6 years,6.0,6.0,Full-time,2026-03-13,"We are hiring a Other at Quantum Data Labs to join our data team in India. The ideal candidate will have strong experience with AWS, Excel, Python and SQL. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with AWS,Excel,Python is required. If you are passionate about data and want to grow your career, apply today!","AWS, Excel, Python, SQL",Other,Kolkata,2499023.5,Senior Level,4,3.0,2026.0,Friday,170.0,AWS; Excel; Python; SQL
JOB-000005,Data Governance Analyst,Lumina Digital,Hyderabad,Hyderabad,Telangana,India,Banking,13 LPA,1300000.0,1659345.0,INR,2-3 years,2.0,3.0,Internship,2025-09-08,"We are hiring a Other at Lumina Digital to join our data team in India. The ideal candidate will have strong experience with Excel, Git and SQL. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Excel,Git,SQL is required. If you are passionate about data and want to grow your career, apply today!","Excel, Git, SQL",Other,Hyderabad,1479672.5,Entry Level,3,9.0,2025.0,Monday,356.0,Excel; Git; SQL
JOB-000006,Big Data Engineer,Lumina Digital,Ahmedabad,Ahmedabad,Gujarat,India,Manufacturing,22 LPA,2275000.0,3540979.0,INR,5-6 years,5.0,6.0,Contract,2026-02-19,"We are hiring a Data Engineer at Lumina Digital to join our data team in India. The ideal candidate will have strong experience with AWS, Airflow, Docker, Kafka, Python and SQL. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with AWS,Airflow,Docker is required. If you are passionate about data and want to grow your career, apply today!","AWS, Airflow, Docker, Kafka, Python, SQL",Data Engineer,Ahmedabad,2907989.5,Mid Level,6,2.0,2026.0,Thursday,192.0,AWS; Airflow; Docker; Kafka; Python; SQL
JOB-000007,Database Administrator,Nimbus Data,Gurgaon,Gurgaon,Haryana,India,Manufacturing,10 LPA,1000000.0,1529491.0,INR,Fresher,0.0,0.0,Contract,2026-07-26,"We are hiring a Other at Nimbus Data to join our data team in India. The ideal candidate will have strong experience with AWS, Git, Python and SQL. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with AWS,Git,Python is required. If you are passionate about data and want to grow your career, apply today!","AWS, Git, Python, SQL",Other,Gurgaon,1264745.5,Fresher,4,7.0,2026.0,Sunday,35.0,AWS; Git; Python; SQL
JOB-000008,Applied ML Engineer,CloudBridge Tech,Mumbai,Mumbai,Maharashtra,India,E-commerce,24 LPA,2400000.0,3136496.0,INR,4-7 years,4.0,7.0,Full-time,2026-04-19,"We are hiring a Machine Learning Engineer at CloudBridge Tech to join our data team in India. The ideal candidate will have strong experience with Computer Vision, Machine Learning, NLP, Python, Spark and TensorFlow. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Computer Vision,Machine Learning,NLP is required. If you are passionate about data and want to grow your career, apply today!","Computer Vision, Machine Learning, NLP, Python, Spark, TensorFlow",Machine Learning Engineer,Mumbai,2768248.0,Mid Level,6,4.0,2026.0,Sunday,133.0,Computer Vision; Machine Learning; NLP; Python; Spark; TensorFlow
JOB-000009,Big Data Engineer,Lumina Digital,Chennai,Chennai,Tamil Nadu,India,E-commerce,22 LPA,2275000.0,3498054.0,INR,5-5 years,5.0,5.0,Full-time,2025-09-19,"We are hiring a Data Engineer at Lumina Digital to join our data team in India. The ideal candidate will have strong experience with Docker, Hadoop, Kafka and SQL. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Docker,Hadoop,Kafka is required. If you are passionate about data and want to grow your career, apply today!","Docker, Hadoop, Kafka, SQL",Data Engineer,Chennai,2886527.0,Mid Level,4,9.0,2025.0,Friday,345.0,Docker; Hadoop; Kafka; SQL
JOB-000010,Data Analytics Associate,AnalyticsHub,Chennai,Chennai,Tamil Nadu,India,Healthcare,7 LPA,780000.0,1299971.0,INR,2-3 years,2.0,3.0,Full-time,2026-06-04,"We are hiring a Data Analyst at AnalyticsHub to join our data team in India. The ideal candidate will have strong experience with Excel, Python, SQL and Tableau. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Excel,Python,SQL is required. If you are passionate about data and want to grow your career, apply today!","Excel, Python, SQL, Tableau",Other,Chennai,1039985.5,Entry Level,4,6.0,2026.0,Thursday,87.0,Excel; Python; SQL; Tableau
